SampleID,X,Y
2_251,2.45207933970721,27500187.1377641
2_252,8.20385965670495,23793.4114339712
2_253,4.54130975655422,1383111740223.78
2_254,8.31693654017753,1581912.06967446
2_255,10.1547516061967,69669950793376032
2_256,7.91542359636829,475130700737122
2_257,8.19601467563204,244989197.566367
2_258,9.50405259034086,1907536502815.27
2_259,7.40664900073205,154.792176030097
2_260,4.86045270343258,55.5434134218597
2_261,8.02497240249525,36645.2361789537
2_262,7.43463992180593,1938668162870.07
2_263,9.51061041990902,10414486692625980
2_264,2.91505619596713,205.404393095189
2_265,5.78284974343116,12392724633.6643
2_266,7.96033290295692,230191646954338528
2_267,8.32554214887483,2144562609626361
2_268,6.54283814153713,8067466609161.42
2_269,3.91696803240248,743682298.911712
2_270,10.326247735854,7641913.8872541
2_271,5.06035464785112,59114819.4619373
2_272,7.67027972160674,191635300448.427
2_273,7.61517199701718,17462691130397.6
2_274,8.75452045749494,459939249.920513
2_275,4.55909730282969,40179079.7324452
2_276,7.50455844371174,94522638386.5545
2_277,7.70439104539155,409106643630481
2_278,6.56535595135195,848705135.995276
2_279,7.22870539190705,367875584851058
2_280,8.08699455061581,33551608.517503
2_281,5.22990217876078,199.400781548621
2_282,6.72512742209585,351460857846517504
2_283,6.70163692460588,14912.9610774085
2_284,7.3227704532031,20764583287.8956
2_285,2.58248236302727,4168.27290194098
2_286,7.10267151719093,6902064251178.3
2_287,2.92426717629275,11725948082.5541
2_288,7.04325959901061,112349983319.273
2_289,6.10872719857806,169275.437082228
2_290,7.18908325780725,18504.614902379
2_291,4.36711647927247,7491564.01912622
2_292,10.4615836820497,81933687099.1632
2_293,5.57490559961039,862686304991.329
2_294,6.57819872055766,292008193457.216
2_295,6.83433748983118,3430146090.06734
2_296,6.8565098548959,70414369.6859192
2_297,7.92342730083669,413218524.167179
2_298,6.66389146261786,564870875.385265
2_299,4.40975481020672,4.53069224485113
2_300,5.56349049195486,1093576678.80743
2_301,8.12898780875257,303812517.279913
2_302,9.16383937285939,2481076639.53831
2_303,4.60726185785678,5539876.6610597
2_304,8.97850848573433,36679245519740
2_305,8.69965054288503,7740934157507.26
2_306,4.23307774132038,81.7668531531265
2_307,5.07413927610104,31153024.2203718
2_308,3.78430595600495,56909312452353
2_309,3.84567398945811,44866787.3157086
2_310,4.36607117744833,214196.978371544
2_311,5.18434724597187,787782733750.676
2_312,9.08080299087098,3493825083542.08
2_313,4.90959858074769,971676.613798935
2_314,8.63781861993723,1186183038.8961
2_315,6.29924457778052,14745711848954
2_316,3.77482711480424,1112502.80122253
2_317,7.42415069298348,13738879487864.8
2_318,4.93575218895143,336983.75273572
2_319,7.77501300557378,112590463134589
2_320,8.10685027988471,128673211804947
2_321,7.89465443176341,104920167755.579
2_322,8.48351210102691,2395961284253814
2_323,8.78458572812115,11299339939.8702
2_324,6.34841805832964,1004.89265509073
2_325,9.50378708934928,123.90952201603
2_326,9.16410052947798,64101132.4407274
2_327,7.56347417218525,56757956883.5219
2_328,8.85092286430447,464724609159.524
2_329,7.78543701921964,4378676321912247
