SampleID,X,Y
1_1,4.85328023107689,3417.29414002601
1_2,8.37425782405688,48603.355881791
1_3,5.83355544408594,615529.952251275
1_4,5.01983523438005,3854863419818.68
1_5,5.29240230748987,7156.39401366918
1_6,8.15137987864038,1535151.75713926
1_7,6.60574540212828,723687363.383431
1_8,7.00771607820009,19612316835.3987
1_9,5.86071319398612,220862320.826311
1_10,3.64341210701601,19295.3430401846
1_11,2.89858661352944,2095104.96189969
1_12,10.6612794533894,134556291662465
1_13,6.56063545205662,179583104059.888
1_14,5.63212270946187,570823206072.203
1_15,3.85699742464516,942185855.42045
1_16,6.03506516711373,81881490.1227073
1_17,3.87908631045864,8.52329694196244
1_18,5.83831762504125,56396.3985626852
1_19,4.77592619807512,8964698910850.37
1_20,6.72879754770459,6322366060.98109
1_21,7.45541232772595,1337818500237.76
1_22,6.5717139322755,267363701.302848
1_23,3.77212220911866,9403903.25566832
1_24,5.47611642504922,25572.7893061391
1_25,7.19733805476116,723752541.430934
1_26,5.11692072222568,86556479.3636849
1_27,5.82725714256959,15627173038.9045
1_28,3.90577893941586,8984114530.49523
1_29,6.93746012002254,149531801.235547
1_30,4.65765063317136,2942019298.59843
1_31,6.16159616087864,7002270.54901804
1_32,7.9709806157903,1902671664.57834
1_33,6.67435703693049,12766.757164331
1_34,5.92664514426732,51150670635.5163
1_35,3.53650266849613,93820818.8959943
1_36,4.80556503452366,51738.0789155501
1_37,5.30473542380218,1719503.88332721
1_38,8.86419487900731,47945966776.7701
1_39,9.76863969074499,203198609585.645
1_40,6.19106229360182,5208926678968114
1_41,6.68815288766288,91017910874.979
1_42,7.29978444856559,360766232.632193
1_43,8.91453920559893,399361001119436672
1_44,1.86151630385918,2472654591.77588
1_45,8.02832724307616,537123156.266516
1_46,7.46051751667288,90948964.1744808
1_47,5.06412887588377,898891512.116461
1_48,3.1844875994224,938.744108310052
1_49,5.85996620762303,1417171.21028503
1_50,5.85537181181698,109.04467380319
1_51,8.01099901032787,323369605.223068
1_52,4.72393266218414,56.1912104895403
1_53,5.14986035301846,415531.425044578
1_54,5.03480241724326,2060649770.85238
1_55,4.48037136846913,545882812519.432
1_56,7.64899291094164,30805127051.7874
1_57,5.7172966256878,547111.042887209
1_58,5.6129862476588,1449426336.96985
1_59,5.2574068663204,367684643131555
1_60,6.96070462321008,13245313801.7077
1_61,5.36902729036165,4388.38518308037
1_62,5.7441053595938,303627064.465451
1_63,4.83527959052461,842.044270116585
1_64,7.75396916341267,502026573504.616
1_65,4.63509593540183,17277768020901.8
1_66,4.52702051854679,471697.659526811
1_67,6.6363538750812,29196858196571032
1_68,0.01,64568349.8254644
1_69,7.8851600225248,68216538792.856
1_70,5.51802651060108,0.314069654399594
1_71,5.13683995151444,5384109.28912434
1_72,6.84743784998704,73392842021.5189
1_73,3.4425527923332,1806.74468777766
1_74,9.85096986674504,107706062778406
1_75,4.81762288239106,14034214.1001624
1_76,5.52193539638374,358647.997229704
1_77,8.22364656200961,9023673056251.48
1_78,8.96901962925568,1540598.95334192
1_79,8.96149730988241,2074730079.55927
1_80,6.32378419744121,122259558.357863
1_81,3.20703486418388,1588.64412520727
1_82,7.20919119180765,1025464494140.94
1_83,5.41110820016422,2175836519.26822
1_84,7.88903742941022,13822495590845.1
1_85,6.66810640652786,29022387639.2718
1_86,7.02661811723434,24237677343.4283
1_87,7.93871510363118,590864541820.567
1_88,6.53107893310021,0.102246644506434
1_89,2.05896020656716,264281.229870189
1_90,3.57605431515979,59710.0111331897
1_91,3.28766959011289,65293245.4455226
1_92,6.15433757360038,277415187025368
1_93,5.71541678510077,538.289965706927
1_94,7.49390370679513,13371806897542.6
1_95,4.24925272399231,81880044991267.3
1_96,7.3287744023603,11255774477.4013
1_97,7.46310758529601,21536336928.7153
1_98,10.9396720081147,27064145.198093
1_99,9.7377960760081,217906577871335
1_100,7.83680963105723,36344184247160816
1_101,7.59539404179291,43519910.2794692
1_102,12.2520889767054,435467760133923776
1_103,9.07957593541911,1607079072.91234
1_104,5.25581447372245,1504130.68516781
1_105,6.13957398926557,571907321290113
1_106,3.83599415999768,62267797987.2963
1_107,10.0495015465902,12374614442368560
1_108,6.03568643727429,7012247918.7284
1_109,7.53368223235683,22848764.3009517
1_110,8.75461011226407,239455466.155296
1_111,5.60565116092983,2922670165.12742
1_112,5.65943642028718,11370722989.4755
1_113,5.03341579890501,6119827.55730845
1_114,7.99286321772687,21588691.8511385
1_115,5.58847713486591,185780469.537666
1_116,7.37187094882318,26590250555.4639
1_117,6.34961759787714,38930398.1094569
1_118,6.96308510909422,140675.916738689
1_119,5.73823795812079,164208.598208534
1_120,5.94208888563322,47174.9555018185
1_121,11.9824321505323,1371499086101928
1_122,5.52749796824023,7971.06869910882
1_123,7.42230097887045,347898170130.275
1_124,6.47875563719951,10699283913.5645
1_125,11.4568601869465,4780022448928581
1_126,6.63313511268874,92118080.8084825
1_127,7.89917617682958,2820925746477.74
1_128,9.67347786987915,19047819049938704
1_129,7.42182299946718,878915.216531892
1_130,7.02208157814164,135186293888271888
1_131,5.11443633224086,2029132.7684888
1_132,7.66790128312658,88949593058.7508
1_133,7.58413653688814,13654734141.6725
1_134,4.52337655662116,141805883990.072
1_135,4.71534475416496,19896739.9568233
